,Company Name,Link
0,NSE:GLENMARK,https://www.tradingview.com/x/cffE8pf0/
1,NSE:IBULHSGFIN,https://www.tradingview.com/x/f0ziQv6L/
2,NSE:FEDERALBNK,https://www.tradingview.com/x/yPuGSBNz/
3,NSE:RBLBANK,https://www.tradingview.com/x/YuliKvsi/
4,NSE:RECLTD,https://www.tradingview.com/x/lg9WQFiJ/
5,NSE:PAGEIND,https://www.tradingview.com/x/EieyVLYw/
6,NSE:BANDHANBNK,https://www.tradingview.com/x/PH2vU8KB/
7,NSE:MANAPPURAM,https://www.tradingview.com/x/iQtgiVJX/
8,NSE:BAJAJ_AUTO,https://www.tradingview.com/x/TbRPBC8Q/
9,NSE:EQUITAS,https://www.tradingview.com/x/1BKYWTD1/
10,NSE:BAJAJFINSV,https://www.tradingview.com/x/3osYNtQc/
11,NSE:CIPLA,https://www.tradingview.com/x/CsfZTtVB/
12,NSE:UJJIVAN,https://www.tradingview.com/x/WKHonDsH/
13,NSE:NMDC,https://www.tradingview.com/x/GT6OYimC/
14,NSE:M_MFIN,https://www.tradingview.com/x/bfh0Z6nv/
15,NSE:PFC,https://www.tradingview.com/x/y2i6oHWY/
16,NSE:BAJFINANCE,https://www.tradingview.com/x/T4NZ0oTd/
17,NSE:BOSCHLTD,https://www.tradingview.com/x/Emycx4rp/
18,NSE:CHOLAFIN,https://www.tradingview.com/x/HQXnONsS/
19,NSE:CANBK,https://www.tradingview.com/x/esfA886N/
20,NSE:IDEA,https://www.tradingview.com/x/EGBd08bd/
21,NSE:ICICIPRULI,https://www.tradingview.com/x/KmrQkmff/
22,NSE:L_TFH,https://www.tradingview.com/x/m7ng7oW3/
23,NSE:CUMMINSIND,https://www.tradingview.com/x/v1wtv3RM/
24,NSE:TVSMOTOR,https://www.tradingview.com/x/e3Q2IIMY/
25,NSE:COALINDIA,https://www.tradingview.com/x/B0IU0z3V/
26,NSE:ZEEL,https://www.tradingview.com/x/nrIgxiZi/
27,NSE:BANKBARODA,https://www.tradingview.com/x/PssVnsW5/
28,NSE:INDIGO,https://www.tradingview.com/x/9t9UvtoD/
29,NSE:GODREJCP,https://www.tradingview.com/x/a5KocB3p/
30,NSE:SAIL,https://www.tradingview.com/x/g8huLhgR/
31,NSE:AXISBANK,https://www.tradingview.com/x/81OT6C14/
32,NSE:NAUKRI,https://www.tradingview.com/x/FVv76Cg1/
33,NSE:INDUSINDBK,https://www.tradingview.com/x/ladwPesC/
34,NSE:PVR,https://www.tradingview.com/x/ss2XyEHr/
35,NSE:IDFCFIRSTB,https://www.tradingview.com/x/4PmZvfZj/
36,NSE:SUNTV,https://www.tradingview.com/x/Algtd83v/
37,NSE:SRTRANSFIN,https://www.tradingview.com/x/1aGIc9Jy/
38,NSE:HEROMOTOCO,https://www.tradingview.com/x/RgYgHKOu/
39,NSE:APOLLOTYRE,https://www.tradingview.com/x/j5uyZYUF/
40,NSE:SBIN,https://www.tradingview.com/x/5OQenoUO/
41,NSE:IOC,https://www.tradingview.com/x/OBPeSjib/
42,NSE:TECHM,https://www.tradingview.com/x/nJp0t64F/
43,NSE:SIEMENS,https://www.tradingview.com/x/nJvWyvVb/
44,NSE:APOLLOHOSP,https://www.tradingview.com/x/6uDbUX7N/
45,NSE:BALKRISIND,https://www.tradingview.com/x/DY2vNEbP/
46,NSE:PNB,https://www.tradingview.com/x/K794yvFM/
47,NSE:ADANIENT,https://www.tradingview.com/x/H1hAlfIn/
48,NSE:ICICIBANK,https://www.tradingview.com/x/3pDgMUwe/
49,NSE:NATIONALUM,https://www.tradingview.com/x/lEN5DUNZ/
50,NSE:MRF,https://www.tradingview.com/x/SpA4GzdG/
51,NSE:LUPIN,https://www.tradingview.com/x/eOnztrUa/
52,NSE:PEL,https://www.tradingview.com/x/YNi52Sgd/
53,NSE:DIVISLAB,https://www.tradingview.com/x/fSVN7O06/
54,NSE:PETRONET,https://www.tradingview.com/x/8iWshlsc/
55,NSE:BIOCON,https://www.tradingview.com/x/pmdQ9J56/
56,NSE:BPCL,https://www.tradingview.com/x/QrhEIPOc/
57,NSE:BEL,https://www.tradingview.com/x/hTHAU7f4/
58,NSE:JUSTDIAL,https://www.tradingview.com/x/HmBVjxom/
59,NSE:CONCOR,https://www.tradingview.com/x/w2vWJh8B/
60,NSE:NTPC,https://www.tradingview.com/x/7PUTu7fA/
61,NSE:ASIANPAINT,https://www.tradingview.com/x/1WCu0Kbn/
62,NSE:MUTHOOTFIN,https://www.tradingview.com/x/KWN0ajIP/
63,NSE:UBL,https://www.tradingview.com/x/1xReZfn9/
64,NSE:KOTAKBANK,https://www.tradingview.com/x/gnFL6Gv8/
65,NSE:TATAMOTORS,https://www.tradingview.com/x/BkXK4K6f/
66,NSE:EICHERMOT,https://www.tradingview.com/x/geIXHq6d/
67,NSE:HINDPETRO,https://www.tradingview.com/x/cyIMwHv8/
68,NSE:UPL,https://www.tradingview.com/x/0RP2x32Y/
69,NSE:TATAPOWER,https://www.tradingview.com/x/aHCXoej5/
70,NSE:DRREDDY,https://www.tradingview.com/x/ivZ339fI/
71,NSE:BERGEPAINT,https://www.tradingview.com/x/SMvGoUVp/
72,NSE:VEDL,https://www.tradingview.com/x/mvSSYjp0/
73,NSE:BATAINDIA,https://www.tradingview.com/x/FiOaKxBN/
74,NSE:BHEL,https://www.tradingview.com/x/AFZOkP4D/
75,NSE:MOTHERSUMI,https://www.tradingview.com/x/iKTJ19hO/
76,NSE:HAVELLS,https://www.tradingview.com/x/z1fsg8iK/
77,NSE:NIITTECH,https://www.tradingview.com/x/3oyUINqA/
78,NSE:TATACONSUM,https://www.tradingview.com/x/VLUMH7j0/
79,NSE:AMBUJACEM,https://www.tradingview.com/x/KcS1zp1i/
80,NSE:DABUR,https://www.tradingview.com/x/qgW8tTOf/
81,NSE:JUBLFOOD,https://www.tradingview.com/x/c4vxYNM5/
82,NSE:INFRATEL,https://www.tradingview.com/x/ffaA69He/
83,NSE:COLPAL,https://www.tradingview.com/x/aWRml7S6/
84,NSE:TORNTPHARM,https://www.tradingview.com/x/Vg3L5BzN/
85,NSE:SHREECEM,https://www.tradingview.com/x/v5ee4xE0/
86,NSE:HDFC,https://www.tradingview.com/x/BJpc70eE/
87,NSE:MCDOWELL_N,https://www.tradingview.com/x/0QvozGsx/
88,NSE:RELIANCE,https://www.tradingview.com/x/kBvZTMFM/
89,NSE:TATASTEEL,https://www.tradingview.com/x/7lGYQP2S/
90,NSE:POWERGRID,https://www.tradingview.com/x/LXn5LW99/
91,NSE:HCLTECH,https://www.tradingview.com/x/JbsCy6ih/
92,NSE:JSWSTEEL,https://www.tradingview.com/x/7DXqt8H4/
93,NSE:ADANIPOWER,https://www.tradingview.com/x/MUT2dXpo/
94,NSE:VOLTAS,https://www.tradingview.com/x/NE1MGTKB/
95,NSE:TORNTPOWER,https://www.tradingview.com/x/CaTcYtQ7/
96,NSE:AUROPHARMA,https://www.tradingview.com/x/OtRJ0BI5/
97,NSE:NESTLEIND,https://www.tradingview.com/x/i8ttnvek/
98,NSE:ADANIPORTS,https://www.tradingview.com/x/l2CnzEnL/
99,NSE:GODREJPROP,https://www.tradingview.com/x/p708O2D7/
100,NSE:BRITANNIA,https://www.tradingview.com/x/yfpHkGzq/
101,NSE:HDFCBANK,https://www.tradingview.com/x/sbRkcsDt/
102,NSE:EXIDEIND,https://www.tradingview.com/x/fIFCjxMH/
103,NSE:HINDUNILVR,https://www.tradingview.com/x/noJ7zI4a/
104,NSE:MINDTREE,https://www.tradingview.com/x/YbwiEh3Z/
105,NSE:TITAN,https://www.tradingview.com/x/gba8gWkC/
106,NSE:LT,https://www.tradingview.com/x/GRo10j1D/
107,NSE:SUNPHARMA,https://www.tradingview.com/x/A1gfVZky/
108,NSE:SRF,https://www.tradingview.com/x/BPmofLhY/
109,NSE:BHARTIARTL,https://www.tradingview.com/x/o4zGm3CS/
110,NSE:GAIL,https://www.tradingview.com/x/QeXhaazn/
111,NSE:TCS,https://www.tradingview.com/x/Kjq10pgB/
112,NSE:MGL,https://www.tradingview.com/x/DxwZ0bG2/
113,NSE:ITC,https://www.tradingview.com/x/DvYiEhyB/
114,NSE:ASHOKLEY,https://www.tradingview.com/x/EAS7ladF/
115,NSE:INFY,https://www.tradingview.com/x/9IkHsW3t/
116,NSE:PIDILITIND,https://www.tradingview.com/x/tQBI8LvQ/
117,NSE:SBILIFE,https://www.tradingview.com/x/3GaUqV6p/
118,NSE:MARICO,https://www.tradingview.com/x/Aq4xOcbr/
119,NSE:TATACHEM,https://www.tradingview.com/x/iIqm6bKK/
120,NSE:CENTURYTEX,https://www.tradingview.com/x/GOEOzASn/
121,NSE:IGL,https://www.tradingview.com/x/WEwxLHu4/
122,NSE:BHARATFORG,https://www.tradingview.com/x/pZ1mKrXn/
123,NSE:HINDALCO,https://www.tradingview.com/x/EMow99g5/
124,NSE:ACC,https://www.tradingview.com/x/2Vc32xjv/
125,NSE:M_M,https://www.tradingview.com/x/iooAsWqs/
126,NSE:ESCORTS,https://www.tradingview.com/x/CWgKYgro/
127,NSE:ULTRACEMCO,https://www.tradingview.com/x/gb4Vpcg9/
128,NSE:ONGC,https://www.tradingview.com/x/TRmojLYn/
129,NSE:DLF,https://www.tradingview.com/x/G4ClHOmp/
130,NSE:NCC,https://www.tradingview.com/x/v1Abazbp/
131,NSE:HDFCLIFE,https://www.tradingview.com/x/69VQYkTX/
132,NSE:MARUTI,https://www.tradingview.com/x/lwhnV4KC/
133,NSE:AMARAJABAT,https://www.tradingview.com/x/2Q8NISar/
134,NSE:CADILAHC,https://www.tradingview.com/x/hWTXbGlJ/
135,NSE:GRASIM,https://www.tradingview.com/x/44dmovGP/
136,NSE:JINDALSTEL,https://www.tradingview.com/x/hFreFQQ9/
137,NSE:WIPRO,https://www.tradingview.com/x/9snJddQC/
138,NSE:MFSL,https://www.tradingview.com/x/BEK2Rkk6/
139,NSE:GMRINFRA,https://www.tradingview.com/x/7uzBPcRA/
140,NSE:RAMCOCEM,https://www.tradingview.com/x/2m2eyUke/
141,NSE:LICHSGFIN,https://www.tradingview.com/x/Ct6NDOPW/
